player_name,draft_year,draft_round,draft_pick,nba2k_version,nba_season,overall_rating,Name match,Updated draft year,Updated draft pick
Kenyon Martin,2000,1,1,NBA 2K1,2000-01,78,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K10,2009-10,79,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K11,2010-11,77,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K12,2011-12,76,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K13,2012-13,73,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K2,2001-02,82,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K3,2002-03,84,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K4,2003-04,84,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K5,2004-05,84,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K6,2005-06,85,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K7,2006-07,83,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K8,2007-08,82,Kenyon Martin,2000,1
Kenyon Martin,2000,1,1,NBA 2K9,2008-09,80,Kenyon Martin,2000,1
Stromile Swift,2000,1,2,NBA 2K1,2000-01,75,Stromile Swift,2000,2
Stromile Swift,2000,1,2,NBA 2K2,2001-02,78,Stromile Swift,2000,2
Stromile Swift,2000,1,2,NBA 2K3,2002-03,79,Stromile Swift,2000,2
Stromile Swift,2000,1,2,NBA 2K4,2003-04,78,Stromile Swift,2000,2
Stromile Swift,2000,1,2,NBA 2K5,2004-05,77,Stromile Swift,2000,2
Stromile Swift,2000,1,2,NBA 2K6,2005-06,75,Stromile Swift,2000,2
Stromile Swift,2000,1,2,NBA 2K7,2006-07,74,Stromile Swift,2000,2
Stromile Swift,2000,1,2,NBA 2K8,2007-08,72,Stromile Swift,2000,2
Darius Miles,2000,1,3,NBA 2K1,2000-01,74,Darius Miles,2000,3
Darius Miles,2000,1,3,NBA 2K2,2001-02,77,Darius Miles,2000,3
Darius Miles,2000,1,3,NBA 2K3,2002-03,78,Darius Miles,2000,3
Darius Miles,2000,1,3,NBA 2K4,2003-04,77,Darius Miles,2000,3
Darius Miles,2000,1,3,NBA 2K5,2004-05,74,Darius Miles,2000,3
Darius Miles,2000,1,3,NBA 2K6,2005-06,73,Darius Miles,2000,3
Darius Miles,2000,1,3,NBA 2K7,2006-07,71,Darius Miles,2000,3
Marcus Fizer,2000,1,4,NBA 2K1,2000-01,71,Marcus Fizer,2000,4
Marcus Fizer,2000,1,4,NBA 2K2,2001-02,72,Marcus Fizer,2000,4
Marcus Fizer,2000,1,4,NBA 2K3,2002-03,72,Marcus Fizer,2000,4
Marcus Fizer,2000,1,4,NBA 2K4,2003-04,71,Marcus Fizer,2000,4
Marcus Fizer,2000,1,4,NBA 2K5,2004-05,70,Marcus Fizer,2000,4
Mike Miller,2000,1,5,NBA 2K1,2000-01,72,Mike Miller,2000,5
Mike Miller,2000,1,5,NBA 2K10,2009-10,81,Mike Miller,2000,5
Mike Miller,2000,1,5,NBA 2K11,2010-11,79,Mike Miller,2000,5
Mike Miller,2000,1,5,NBA 2K12,2011-12,79,Mike Miller,2000,5
